date,description,type,category,oppositeAccount,oppositeAmount
,Перекрёсток,expense,Супермаркеты,,
,Пятерочка,expense,Супермаркеты,,
,Магнит,expense,Супермаркеты,,
,Ашан,expense,Супермаркеты,,
,Лента,expense,Супермаркеты,,
,Гипербола,expense,Супермаркеты,,
,Миндаль,expense,Супермаркеты,,
,МясБерри,expense,Супермаркеты,,
,SPAR,expense,Супермаркеты,,
,Granat,expense,Супермаркеты,,
,Minimarket,expense,Супермаркеты,,
,Supermarket,expense,Супермаркеты,,
,Супермаркеты.*9%,expense,Супермаркеты,,
,IP Fajzullina,expense,Супермаркеты,,
,IP Fedorov,expense,Супермаркеты,,
,IP Gladkov,expense,Супермаркеты,,
,IP Vasilev,expense,Супермаркеты,,
,Magazin,expense,Супермаркеты,,
,Hugeshnaya,expense,Кафе и рестораны,,
,PEKARNYa BELOChKA,expense,Кафе и рестораны,,
,Desert-Bar Carrie,expense,Кафе и рестораны,,
,Nastoyashhaya Shaurma,expense,Кафе и рестораны,,
,Шоколадница,expense,Кафе и рестораны,,
,IP Beloglazov,expense,Кафе и рестораны,,
,Restoran Mio,expense,Кафе и рестораны,,
,Simple Coffee,expense,Кафе и рестораны,,
,Bodrost 4 Ul Soyuznaya,expense,Кафе и рестораны,,
,Вилка Ложка,expense,Кафе и рестораны,,
,Artek,expense,Кафе и рестораны,,
,LLC Fenix,expense,Кафе и рестораны,,
,IP Buy,expense,Кафе и рестораны,,
,Жизньмарт,expense,Кафе и рестораны,,
,Black And White,expense,Кафе и рестораны,,
,Vv3,expense,Кафе и рестораны,,
,Coffee Store,expense,Кафе и рестораны,,
,Пекарня Хлебница,expense,Кафе и рестораны,,
,OOO Alyans Prodgekt,expense,Кафе и рестораны,,
,Legenda,expense,Кафе и рестораны,,
,Picca I Pasta,expense,Кафе и рестораны,,
,IP Eremeev,expense,Кафе и рестораны,,
,Venskie Kofeyni,expense,Кафе и рестораны,,
,Kabuki,expense,Кафе и рестораны,,
,Вечно Молодой,expense,Кафе и рестораны,,
,Letnyaya Veranda,expense,Кафе и рестораны,,
,Bar Leprekon,expense,Кафе и рестораны,,
,Pub Britannia,expense,Кафе и рестораны,,
,Myata Ekb,expense,Кафе и рестораны,,
,Brugge Brasserie Blg,expense,Кафе и рестораны,,
,ПельменьБлинВареник,expense,Кафе и рестораны,,
,Cinnabon,expense,Кафе и рестораны,,
,Pipls-Samara,expense,Кафе и рестораны,,
,Perchini,expense,Кафе и рестораны,,
,Такси,expense,Такси,,
,Яндекс.Плюс,expense,Подписки,,
,Иви,expense,Подписки,,
,LLC Mt Finance,expense,Мобильная связь,,
,Мой телефон,expense,Мобильная связь,,
,Яндекс.Еда,expense,Доставка еды,,
,City Travel,expense,Авиабилеты,,
,Мусор,expense,Коммуналка,,
,За квартиру,expense,Коммуналка,,
,Кэшбэк,income,Кэшбэк,,
,Проценты,income,Проценты,,
,МОДУЛЬБАНК,income,Зарплата,,
,Пополнение брокерского,exchange,,Тинькофф Брокер (Основной),~
2022-09-25,Снятие в банкомате Co,exchange,,Наличка,~
2022-09-2.,Снятие в банкомате,exchange,,Наличка,30000 KZT
2022-10-02,Александр,income,Другое,,